key,value
3909600,2.357
3913200,2.406
3916800,2.493
3920400,2.612
3924000,2.755
3927600,2.913
3931200,3.075
3934800,3.23
3938400,3.368
3942000,3.478
3945600,3.554
3949200,3.59
3952800,3.585
3956400,3.537
3960000,3.451
3963600,3.333
3967200,3.19
3970800,3.032
3974400,2.87
3978000,2.715
3981600,2.578
3985200,2.468
3988800,2.393
3992400,2.358
3996000,2.365
3999600,2.415
4003200,2.503
4006800,2.624
4010400,2.77
4014000,2.931
4017600,3.096
4021200,3.253
4024800,3.393
4028400,3.506
4032000,3.583
4035600,3.62
4039200,3.614
4042800,3.566
4046400,3.479
4050000,3.358
4053600,3.213
4057200,3.052
4060800,2.888
4064400,2.731
4068000,2.591
4071600,2.48
4075200,2.403
4078800,2.368
4082400,2.375
4086000,2.425
4089600,2.515
4093200,2.639
4096800,2.787
4100400,2.951
4104000,3.118
4107600,3.279
4111200,3.421
4114800,3.536
4118400,3.615
4122000,3.652
4125600,3.647
4129200,3.598
4132800,3.509
4136400,3.387
4140000,3.239
4143600,3.075
4147200,2.908
4150800,2.748
4154400,2.607
4158000,2.493
4161600,2.415
4165200,2.379
4168800,2.387
4172400,2.438
4176000,2.53
4179600,2.655
4183200,2.806
4186800,2.973
4190400,3.144
4194000,3.307
4197600,3.452
4201200,3.568
4204800,3.649
4208400,3.687
4212000,3.682
4215600,3.632
4219200,3.542
4222800,3.417
4226400,3.267
4230000,3.101
4233600,2.931
4237200,2.768
4240800,2.624
4244400,2.508
4248000,2.429
4251600,2.393
4255200,2.401
4258800,2.453
4262400,2.546
4266000,2.674
4269600,2.828
4273200,2.997
4276800,3.171
4280400,3.337
4284000,3.485
4287600,3.604
4291200,3.685
4294800,3.725
4298400,3.719
4302000,3.669
4305600,3.577
4309200,3.45
4312800,3.297
4316400,3.128
4320000,2.955
4323600,2.79
4327200,2.643
4330800,2.526
4334400,2.445
4338000,2.408
4341600,2.416
4345200,2.469
4348800,2.564
4352400,2.694
4356000,2.851
4359600,3.024
4363200,3.201
4366800,3.37
4370400,3.521
4374000,3.641
4377600,3.725
4381200,3.765
4384800,3.759
4388400,3.708
4392000,3.615
4395600,3.486
4399200,3.33
4402800,3.158
4406400,2.982
4410000,2.814
4413600,2.664
4417200,2.545
4420800,2.463
4424400,2.425
4428000,2.434
4431600,2.488
4435200,2.585
4438800,2.717
4442400,2.877
4446000,3.053
4449600,3.233
4453200,3.406
4456800,3.559
4460400,3.682
4464000,3.767
4467600,3.808
4471200,3.802
4474800,3.75
4478400,3.655
4482000,3.524
4485600,3.365
4489200,3.19
4492800,3.011
4496400,2.84
4500000,2.688
4503600,2.566
4507200,2.483
4510800,2.445
4514400,2.453
4518000,2.509
4521600,2.607
4525200,2.742
4528800,2.905
4532400,3.084
4536000,3.267
4539600,3.443
4543200,3.599
4546800,3.725
4550400,3.811
4554000,3.853
4557600,3.847
4561200,3.794
4564800,3.697
4568400,3.564
4572000,3.403
4575600,3.225
4579200,3.042
4582800,2.868
4586400,2.713
4590000,2.59
4593600,2.505
4597200,2.466
4600800,2.475
4604400,2.531
4608000,2.631
4611600,2.769
4615200,2.935
4618800,3.117
4622400,3.304
4626000,3.483
4629600,3.642
4633200,3.77
4636800,3.858
4640400,3.901
4644000,3.895
4647600,3.841
4651200,3.743
4654800,3.607
4658400,3.443
4662000,3.261
4665600,3.076
4669200,2.898
4672800,2.741
4676400,2.615
4680000,2.529
4683600,2.489
4687200,2.498
4690800,2.555
4694400,2.658
4698000,2.798
4701600,2.967
4705200,3.153
4708800,3.343
4712400,3.526
4716000,3.687
4719600,3.818
4723200,3.908
4726800,3.951
4730400,3.945
4734000,3.89
4737600,3.79
4741200,3.652
4744800,3.485
4748400,3.3
4752000,3.111
4755600,2.93
4759200,2.77
4762800,2.642
4766400,2.554
4770000,2.514
4773600,2.523
4777200,2.582
4780800,2.686
4784400,2.829
4788000,3.001
4791600,3.19
4795200,3.384
4798800,3.57
4802400,3.735
4806000,3.868
4809600,3.96
4813200,4.004
4816800,3.998
4820400,3.942
4824000,3.84
4827600,3.7
4831200,3.529
4834800,3.341
4838400,3.149
4842000,2.965
4845600,2.802
4849200,2.671
4852800,2.582
4856400,2.541
4860000,2.55
4863600,2.61
4867200,2.716
4870800,2.862
4874400,3.037
4878000,3.23
4881600,3.428
4885200,3.617
4888800,3.785
4892400,3.921
4896000,4.014
4899600,4.059
4903200,4.053
4906800,3.997
4910400,3.893
4914000,3.75
4917600,3.576
4921200,3.385
4924800,3.189
4928400,3.001
4932000,2.835
4935600,2.702
4939200,2.611
4942800,2.569
4946400,2.579
4950000,2.64
4953600,2.748
4957200,2.897
4960800,3.075
4964400,3.272
4968000,3.474
4971600,3.667
4975200,3.838
4978800,3.976
4982400,4.071
4986000,4.117
4989600,4.111
4993200,4.053
4996800,3.948
5000400,3.802
5004000,3.625
5007600,3.43
5011200,3.231
5014800,3.04
5018400,2.87
5022000,2.735
5025600,2.643
5029200,2.6
5032800,2.61
5036400,2.672
5040000,2.782
5043600,2.934
5047200,3.116
5050800,3.316
5054400,3.522
5058000,3.719
5061600,3.893
5065200,4.034
5068800,4.131
5072400,4.178
5076000,4.172
5079600,4.113
5083200,4.005
5086800,3.857
5090400,3.677
5094000,3.478
5097600,3.275
5101200,3.08
5104800,2.908
5108400,2.77
5112000,2.676
5115600,2.632
5119200,2.643
5122800,2.706
5126400,2.818
5130000,2.973
5133600,3.158
5137200,3.363
5140800,3.572
5144400,3.773
5148000,3.95
5151600,4.094
5155200,4.193
5158800,4.241
5162400,4.234
5166000,4.175
5169600,4.065
5173200,3.914
5176800,3.73
5180400,3.528
5184000,3.321
5187600,3.123
5191200,2.947
5194800,2.807
5198400,2.711
5202000,2.667
5205600,2.677
5209200,2.742
5212800,2.856
5216400,3.014
5220000,3.203
5223600,3.411
5227200,3.624
5230800,3.829
5234400,4.01
5238000,4.156
5241600,4.257
5245200,4.306
5248800,4.3
5252400,4.239
5256000,4.127
5259600,3.973
5263200,3.786
5266800,3.58
5270400,3.369
5274000,3.167
5277600,2.989
5281200,2.845
5284800,2.748
5288400,2.703
5292000,2.714
5295600,2.779
5299200,2.896
5302800,3.057
5306400,3.249
5310000,3.461
5313600,3.679
5317200,3.887
5320800,4.072
5324400,4.221
5328000,4.324
5331600,4.374
5335200,4.367
5338800,4.305
5342400,4.192
5346000,4.035
5349600,3.845
5353200,3.635
5356800,3.42
5360400,3.214
5364000,3.032
5367600,2.886
5371200,2.787
5374800,2.741
5378400,2.752
5382000,2.819
5385600,2.938
5389200,3.101
5392800,3.298
5396400,3.514
5400000,3.736
5403600,3.948
5407200,4.136
5410800,4.288
5414400,4.393
5418000,4.444
5421600,4.438
5425200,4.374
5428800,4.259
5432400,4.099
5436000,3.905
5439600,3.691
5443200,3.472
5446800,3.262
5450400,3.077
5454000,2.929
5457600,2.827
5461200,2.781
5464800,2.792
5468400,2.86
5472000,2.982
5475600,3.148
5479200,3.348
5482800,3.569
5486400,3.795
5490000,4.011
5493600,4.203
5497200,4.358
5500800,4.465
5504400,4.516
5508000,4.51
5511600,4.446
5515200,4.328
5518800,4.165
5522400,3.968
5526000,3.75
5529600,3.526
5533200,3.313
5536800,3.124
5540400,2.973
5544000,2.87
5547600,2.822
5551200,2.834
5554800,2.904
5558400,3.027
5562000,3.197
5565600,3.401
5569200,3.626
5572800,3.856
5576400,4.076
5580000,4.272
5583600,4.429
5587200,4.538
5590800,4.591
5594400,4.585
5598000,4.519
5601600,4.399
5605200,4.233
5608800,4.032
5612400,3.81
5616000,3.583
5619600,3.366
5623200,3.173
